comment,label
谢泼德虽然有9失误，但有一半是队友接不住球导致的，这队友一个比一个抽象,0.5
火箭探花谢泼德本场比赛出战33分钟，17投9中，三分5中0拿到20分5篮板7助攻。本场比赛谢泼德开场7投1中，此后10投8中，两分球12中9。,0.5
加油啊,1.0
调整能力挺好的,1.0
尤其是3号 是不是丹特 基本就是黄油手，防守篮板球都不会卡位，难怪落选，还有个后卫51号 ,0.0
防守这块来到NBA我估计会被突穿,0.5
最有说服力的就是直接上你说的最少四个的动图,0.5
看了球，至少四个球被人直接断走,0.5
继续努力，用脑子打球,0.0
都不看了，直接快进季前赛,0.0
今天比赛，证明谢泼德在坦克型后面面前比较吃亏，不过下半场他自我调整之后好多了，最终又砍下20分，中投和抢断这个基本盘也很稳，其他的继续学习和提高吧。,1.0
谢泼德需要身边有个得分强点，或者会挡拆的队友,0.5
挡拆都不会挡,0.0
这队友也无敌了,0.0
对面针对他上强度，有点挣扎,0.5
格里芬看着好大，像小贾伦杰克逊一样,0.5
这梳理进攻超出预期,0.5
在这个运球水平下能拿下7个助攻，说明他的视野和手活真的不错,1.0
这帮队友除了奥罗哪有什么防守？,0.0
好多球迷就是一傻子，看着谢泼德命中率高了就说完全顶替格林。要把格林换出去，却不知道在一个球队是要五个人，是要强点越多牵制力就越多，打得越轻松。不然就会死掐你一个点。那就叫双拳不敌四手。强如库里如果给他配的不是汤普森的话敢让命中率低的格林上首发吗?所以以后火箭队会经常会看到谢泼德格林阿门惠特摩尔和史密斯这样的极致阵容小个。往季格林也是经常碰到今天谢泼德的情况，双拳不敌四手，就死掐你一个点。其余的怎么都搞不进球。在一个队强点越多命中率会越高，强点越少，球星命中率就越小。这是不变的规律，再说早年的雷霆三少。当史有杜兰特的时候命中率能看吗，当有了威斯布鲁克后命中率就上来了。当有了哈登后命中率是不是就高高了。,0.5
让人家面断。。。,0.5
他防守好差啊,0.0
其实不太关注威少三分开没开，只要保持住这个突破水准和篮下终结效率。那么可以说快船终于等来最重要的那把小刀。这小刀捅屁股的事，不管哪个队都会觉得难受的。,1.0
威少多年老球迷了，我是真心喜欢海兰德这小伙子。简直就是个小威少！,1.0
海兰德跟神龟的貌似很来电啊,0.5
对比一下席梦思就知道威少内心的强大,1.0
15个赛季了，你还能跑能跳，真替你开心。,1.0
海鳗组合天天跟着威少爆金币呢,0.5
如果威少能在快船把海兰德带出来就太好了,1.0
威少来快船后教会了海兰德和曼很多东西，他的精神引领也是对球队的一种贡献,1.0
威少简直就像是海兰德 曼恩的精神导师,1.0
席梦思直接重开了,1.0
我的角色变了，但心态没变,1.0
年轻人还在学习成长，威少也乐于分享和帮助，未来可期！,1.0
曼和海一起带，3年必成大器,1.0
我现在只希望威少在快船能干出一番大事来，乔治好好养伤，季后赛干就完了！,1.0
硬实,1.0
他可是敢出手绝杀的，绝杀榜排前三的男人，心理素质不用质疑,1.0
吾辈楷模,1.0
有些人说威少来快船这俩不开心。,0.5
4000万合同是人家雷霆开的，人也是湖人交易过来的，威少在湖人被侮辱成那样了，詹的球迷却还是不放过，也不知道威少是因为谁做出的让步，就见不到别人好呗,0.0
曼恩也是,0.5
离开了那个鬼地方真是开心,1.0
因为觉得威少来缩减了曼的时间，其实看曼还是非常高兴的，快船氛围不错,1.0
曼恩也很喜欢,1.0
骂的就是你这种人,0.0
曼的发展方向应该不太一样的，按照别的老哥说的，曼恩发现方向应该是霍勒迪我觉得非常靠谱。威少确实可以带一带海兰德，但是激情是这两个小伙子都可以学习的东西,1.0
确实，一开始我还觉得海兰德有点独，但是泡椒受伤后发现这小伙子打球也是激情满满，满场奔袭，和龟龟有点像，与龟配合的也不错，关键是真能进球啊，挺喜欢这小伙子的,1.0
谦虚成熟，这人干什么都能有成就，加油,1.0
狠狠跟着老头爆金币就完事了,0.5
海鳗龟组合 最有活力了,1.0
当少爷的投篮奏效时，敌人不再萎缩在篮下，刺刀就会展现,1.0
饺子真香！,1.0
雀氏 ，每当把自己代入到那种全世界都在质疑，诋毁，谩骂的情况下，真的容易崩溃。但是把自己代入到威少的收入情况下，我又想，特么的上个锤子网，看个锤子论坛。。哈哈哈哈哈 ,1.0
当初在湖区给威少说话被好几百，威少最近打得好，我也很开心啊,1.0
在湖人心态变化很大，回快船重新找回自信,1.0
所以他是真·猛男啊,1.0
这种关键时刻字母哥完全没有支配球权的能力,0.5
关键时刻都是那个男人在打，字母看着,0.5
上来就是巴特勒连拿8分,1.0
马修斯投完三分，我都感觉热火悬了，结果吉米仔蹭蹭蹭连拿八分给我看晕了,1.0
糙哥就是糙哥 没投篮是硬伤,0.5
这个空接是真他妈逆天，身子都在空中平躺着了，这核心力量得多变态,1.0
奥尼尔没有、邓肯没有、贾巴尔也没有，关键时刻本就不是内线球员的时刻，因为他们的球权需要外线去支配。哪怕字母已经是常规时间有极强持球、处理球能力了，但是面对关键时刻的防守，靠自己打不出优质的出手空间很正常。用关键时刻质疑内线球员的同时不应该忽略球队给内线喂球或创造空间的能力。,0.5
这是热火最后的赢球阵容，巴特勒+4 落选秀,1.0
巴特勒真的狠角色,1.0
罚球能罚进也赢了,1.0
是的，内线球员致命伤就在这点，最后时刻不会给你舒服去低位接球的机会，接到球也会立马包夹逼你出球，即使是像字母这样的持球能力面对收缩也无能为力，而外线球员处理球就更加灵活了，因为这点贬低字母只能说球还是看少了，字母已经很强了，无奈那年雄鹿缺少稳定第二得分点，米德尔顿因为伤病下滑了，所以上赛季雄鹿痛定思痛放弃了后场防守也要把利拉德搞来,0.5
最后绝平直接全宿舍嚎叫,1.0
相反德巴支配球就很合理,1.0
给霍勒迪打自闭了,0.5
最后一攻实在是没看懂，没人敢承担责任了,0.0
这两个解说像买了雄鹿一样 糖的发昏,0.0
到最后字母哥都不敢触球进攻了，这就是没篮球星的弊端，不得不说jb真的厉害呀，带着这些队友屡次创造奇迹，换别的球星可能早跑路了,0.5
最后没暂停了么,0.5
最后一球，甚至没时间投出去,0.5
没投射,0.0
文森特功臣啊,1.0
巴特勒太帅啦！！,1.0
